Sexe,Année de naissance,Commune,Situation familiale,Habitat,Catégorie socioprofessionnelle,Nationalité,Nombre d'enfant(s),Date du contact,1er contact,Motif,Violences,Produits addictifs,Envoyé(e) par institution,age_contact
F,,Paita,,,Etudiant-e,FRANCAISE,2,2011-03,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,8
F,,Mont dore,,,Scolarisé-e,,,2013-10,True,Victime,"Psychologiques,Physiques",,Tribunal,11
F,2002,Nouméa,Union libre,Locataire,,,,2021-07,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,19
M,2002,Nouméa,Enfant,,Scolarisé-e,,,2013-07,True,Victime,Physiques,,Tribunal,11
F,,Paita,Union libre,Hébergé,Etudiant-e,,,2019-09,True,Mixte,,,,17
F,2002,Mont dore,Célibataire,Hébergé,Scolarisé-e,FRANCAISE,,2022-11,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles",,Professionnels de santé,20
M,2001,Nouméa,Célibataire,Hébergé,,,,2021-11,True,Victime,"Verbales,Psychologiques,Physiques",,Entourage,20
F,2001,Nouméa,Séparé(e),Hébergé,Sans Emploi,FRANCAISE,1,2022-02,True,Victime,"Psychologiques,Psychologiques,Physiques,Sexuelles",,Gendarmerie,20
F,2001,Nouméa,,Hébergé,Cuisinier,,,2023-02,True,Victime,,,Service pénitentiaire d'insertion et de probation SPIP,21
M,2001,Boulouparis,,Hébergé,Sans Emploi,,,2023-07,True,Auteur,"Verbales,Physiques",,,22
F,2001,Nouméa,,Hébergé,Adjoint-e administratif,,,2023-12,True,Victime,"Verbales,Psychologiques,Physiques",,Services Province Sud,22
F,2001,Nouméa,Union libre,Hébergé,Etudiant-e,,,2020-07,True,Mixte,"Psychologiques,Physiques",,Services Province Sud,19
M,2001,Nouméa,Séparé(e),Hébergé,Etudiant-e,,,2020-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Tribunal,18
F,2001,Mont dore,Union libre,Hébergé,Employé-e,,,2020-11,True,Mixte,"Verbales,Psychologiques",,Centre d'information des droits des femmes et égalité,19
M,2000,Nouméa,Séparé(e),Hébergé,,,,2023-07,False,Auteur,,,Service pénitentiaire d'insertion et de probation SPIP,22
F,2000,Dumbéa,Union libre,Hébergé,Etudiant-e,,,2019-04,True,Mixte,"Verbales,Psychologiques,Physiques",,Institutions,18
F,2000,Nouméa,Séparé(e),Hébergé,Etudiant-e,,1,2020-10,True,Mixte,Physiques,,Services Province Sud,20
M,2000,Nouméa,,,,,,2023-12,True,Auteur,"Verbales,Physiques",Prise de produits,Service pénitentiaire d'insertion et de probation SPIP,23
M,2000,Nouméa,Union libre,Hébergé,,FRANCAISE,1,2022-12,True,Auteur,"Verbales,Psychologiques,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,22
F,2000,Nouméa,Union libre,Hébergé,Sans Emploi,,1,2019-06,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Travailleurs sociaux,18
F,2000,Nouméa,Séparé(e),Hébergé,,,1,2020-11,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",,,20
M,2000,Mont dore,Union libre,Hébergé,,,1,2020-11,True,Auteur,"Verbales,Physiques,Menaces de mort",drogue,Entourage,20
M,2000,Yate,Union libre,Hébergé,Ouvrier-ère,FRANCAISE,,2022-09,True,Auteur,"Verbales,Physiques,Économiques",,Service pénitentiaire d'insertion et de probation SPIP,22
F,2000,Moindou,,Propriétaire,Employé-e,,1,2023-07,True,Victime,,,Spontanée,23
M,1999,Nouméa,Union libre,,,FRANCAISE,1,2022-07,True,Auteur,"Verbales,Psychologiques,Physiques,Menaces de mort",,Service pénitentiaire d'insertion et de probation SPIP,22
M,1999,Nouméa,Séparé(e),Hébergé,,,,2023-03,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,23
F,1999,Nouméa,Séparé(e),Hébergé,,FRANCAISE,1,2022-05,True,Victime,,,Professionnels de santé,22
F,1999,Nouméa,Union libre,Hébergé,Sans Emploi,,1,2020-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Tribunal,20
F,1999,Nouméa,Union libre,Hébergé,Sans Emploi,,1,2020-06,True,Mixte,"Verbales,Physiques,Physiques",,Spontanée,20
F,1999,Nouméa,Union libre,Locataire,Etudiant-e,FRANCAISE,,2022-08,True,Victime,"Verbales,Psychologiques,Physiques",,Entourage,23
F,1999,Yate,Séparé(e),,,,1,2021-08,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques,Administratives,Menaces de mort",alcool,Entourage,22
F,1999,Tontouta,Union libre,Hébergé,Sans Emploi,,1,2021-07,True,Mixte,"Verbales,Physiques,Sexuelles",,Entourage,21
F,1999,Paita,Union libre,Hébergé,Employé-e,,0,2020-03,True,Mixte,"Psychologiques,Psychologiques,Physiques",,Entourage,20
M,1999,Nouméa,Union libre,Hébergé,Sans Emploi,,,2020-04,True,Mixte,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,20
F,1999,Nouméa,Union libre,Hébergé,Sans Emploi,,2,2019-07,True,Mixte,Physiques,,Services Province Sud,20
F,1999,Nouméa,Union libre,Hébergé,Employé-e,FRANCAISE,,2018-02,True,Mixte,"Verbales,Physiques",,Professionnels de santé,18
F,1999,Nouméa,Célibataire,Hébergé,Etudiant-e,,,2021-07,True,Mixte,Physiques,,,22
F,,Nouméa,Célibataire,Hébergé,Etudiant-e,FRANCAISE,0,2016-12,True,Mixte,"Verbales,Psychologiques,Intrafamiliales",,Entourage,17
M,1999,Paita,,Hébergé,Livreur,,1,2023-04,True,Auteur,,Prise de produits,Service pénitentiaire d'insertion et de probation SPIP,24
F,,Nouméa,Célibataire,,Etudiant-e,FRANCAISE,0,2016-11,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,17
F,1998,Nouméa,Union libre,Hébergé,Employé-e,,,2018-09,True,Auteur,"Physiques,Psychologiques",,Spontanée,19
F,1998,Nouméa,,,Sans Emploi,,,2019-09,True,Mixte,Sexuelles,,,21
F,1998,Dumbéa,Union libre,Hébergé,,,1,2021-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,22
F,1998,Dumbéa,Célibataire,Hébergé,Etudiant-e,,,2021-04,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",alcool,Professionnels de santé,23
F,1998,Nouméa,Union libre,Hébergé,Employé-e,,,2018-11,True,Mixte,"Psychologiques,Sexuelles",,Associations,20
M,1998,Nouméa,,Locataire,Ouvrier-ère,FRANCAISE,,2017-12,True,Auteur,"Physiques,Verbales",alcool,Service pénitentiaire d'insertion et de probation SPIP,19
F,1998,Nouméa,Union libre,Hébergé,Etudiant-e,FRANCAISE,0,2016-09,True,Mixte,"Verbales,Psychologiques,Physiques",,Institutions,18
F,1998,Nouméa,Union libre,,,,,2019-10,False,,"Verbales,Physiques",,,21
F,1997,Nouméa,Séparé(e),Hébergé,Sans Emploi,,2,2021-03,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques,Menaces de mort",,Centre d'information des droits des femmes et égalité,23
F,,Mont dore,Célibataire,,Etudiant-e,FRANCAISE,,2011-04,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Entourage,13
F,1997,Nouméa,Séparé(e),Hébergé,Etudiant-e,,1,2019-04,True,Mixte,"Verbales,Psychologiques,Physiques",,Associations,21
M,1997,Nouméa,Célibataire,Hébergé,Sans Emploi,FRANCAISE,,2018-08,True,Auteur,"Physiques,Verbales,Psychologiques",alcool,Tribunal,20
F,1997,La foa,Séparé(e),Hébergé,Ouvrier-ère,,1,2023-10,False,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,26
F,1997,Nouméa,Séparé(e),Hébergé,Sans Emploi,FRANCAISE,2,2022-06,True,Victime,"Verbales,Physiques,Sexuelles,Menaces de mort",,Travailleurs sociaux,24
M,1997,Nouméa,Séparé(e),,,,,2023-10,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,26
F,1997,Nouméa,Célibataire,Locataire,,FRANCAISE,,2022-09,True,Victime,"Verbales,Psychologiques,Physiques",,Police,25
M,1997,Nouméa,Union libre,Locataire,Employé-e,,1,2020-05,True,Auteur,"Physiques,Verbales,Psychologiques",,Police,23
M,1997,Nouméa,Union libre,Locataire,Employé-e,,,2020-08,True,Auteur,"Psychologiques,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,23
F,1997,Nouméa,Union libre,Hébergé,Sans Emploi,,1,2019-10,True,Mixte,"Verbales,Psychologiques,Physiques",,Professionnels de santé,22
M,1997,Nouméa,Célibataire,Locataire,Cadre,,,2022-08,False,Auteur,"Psychologiques,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,25
F,1997,Yate,Union libre,,Employé-e,,1,2023-09,True,Victime,"Verbales,Physiques,Intrafamiliales",,,26
F,1997,Nouméa,Séparé(e),Hébergé,Sans Emploi,,1,2018-07,True,Mixte,"Physiques,Verbales,Psychologiques,Sexuelles,Économiques,Menaces de mort",,Professionnels de santé,21
M,1997,Nouméa,Union libre,Hébergé,Sans Emploi,,,2019-05,True,Auteur,"Physiques,Verbales,Psychologiques,Menaces de mort,Sexuelles",,Professionnels de santé,22
M,,Nouméa,Célibataire,,Etudiant-e,FRANCAISE,,2011-02,True,Victime,"Physiques,Psychologiques",,Police,13
F,1997,Nouméa,Séparé(e),Hébergé,Sans Emploi,,2,2019-02,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort,Administratives",,Professionnels de santé,21
F,1997,Nouméa,Union libre,Hébergé,Sans Emploi,,1,2019-06,True,Mixte,"Verbales,Psychologiques,Physiques",,Services Province Sud,22
F,1997,Paita,Union libre,,Sans Emploi,,1,2017-09,True,Mixte,"Verbales,Psychologiques,Physiques",,Police,20
M,1996,Koumac,Célibataire,Hébergé,Sans Emploi,,,2023-12,True,Auteur,"Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,27
F,1996,Nouméa,Séparé(e),Hébergé,Sans Emploi,FRANCAISE,1,2017-02,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Entourage,20
M,1996,Nouméa,Union libre,Locataire,Sans Emploi,FRANCAISE,,2017-02,True,Auteur,Physiques,,Tribunal,20
M,,Nouméa,Union libre,,Sans Emploi,,,2013-01,True,Auteur,"Psychologiques,Physiques",,Tribunal,16
F,1996,Nouméa,Séparé(e),Hébergé,Ouvrier-ère,FRANCAISE,3,2022-03,True,Victime,"Verbales,Psychologiques,Physiques,Menaces de mort",,Centre d'hébergement et de réinsertion social,25
M,1996,Paita,Célibataire,Hébergé,,,,2021-11,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,25
M,1996,Dumbéa,Union libre,,,FRANCAISE,1,2022-07,True,Auteur,"Verbales,Psychologiques,Physiques,Menaces de mort",,Entourage,25
M,1996,Nouméa,Célibataire,Locataire,Soudure,,,2023-04,True,Auteur,Psychologiques,,Entourage,26
F,1996,Nouméa,Union libre,Hébergé,Ouvrier-ère,,1,2015-10,False,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,19
M,1996,,Union libre,,GORO,,1,2024-01,True,Auteur,"Verbales,Physiques",alcool,Service pénitentiaire d'insertion et de probation SPIP,27
F,1996,Nouméa,Union libre,Squat,Sans Emploi,,2,2021-06,True,Mixte,"Verbales,Psychologiques,Physiques",,,25
F,1996,Nouméa,Séparé(e),Locataire,Profession intermédiaire,,,2022-11,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",,Police,26
F,1996,Nouméa,Séparé(e),Hébergé,Sans Emploi,,,2018-06,True,Mixte,"Verbales,Psychologiques,Physiques,Administratives",,Professionnels de santé,22
M,1996,Nouméa,Union libre,,,FRANCAISE,1,2022-08,True,Auteur,,,Entourage,26
F,1996,Nouméa,Union libre,,,,1,2021-01,True,Mixte,"Psychologiques,Physiques,Sexuelles,Menaces de mort,Verbales",,Entourage,24
F,1996,Nouméa,Célibataire,Locataire,Sans Emploi,FRANCAISE,,2022-03,False,Victime,"Verbales,Psychologiques,Physiques,Sexuelles",,,26
F,1996,Dumbéa,Union libre,Squat,Sans Emploi,,1,2015-04,True,Victime,Physiques,alcool,Tribunal,19
F,1996,Nouméa,Séparé(e),Hébergé,Employé-e,,2,2019-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,23
F,1996,Bourail,Séparé(e),Hébergé,Sans Emploi,,2,2023-07,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,27
F,1996,Nouméa,Séparé(e),Locataire,Vendeur-se,,,2023-11,True,Victime,"Verbales,Physiques,Psychologiques",,Police,27
M,1995,Nouméa,Union libre,Hébergé,,FRANCAISE,2,2021-12,True,Auteur,"Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,25
F,1995,Dumbéa,Séparé(e),Hébergé,Etudiant-e,,1,2019-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Spontanée,23
F,1995,Nouméa,,Locataire,Infirmière-er,,,2023-07,True,Auteur,"Verbales,Physiques",,Tribunal,27
M,1995,Boulouparis,Séparé(e),,Ouvrier-ère,FRANCAISE,1,2017-01,True,Auteur,"Psychologiques,Physiques",,Tribunal,21
F,1995,Nouméa,Union libre,Squat,Sans Emploi,,2,2019-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,23
F,1995,Nouméa,Séparé(e),Hébergé,Sans Emploi,,0,2015-05,True,Victime,Physiques,,Tribunal,19
M,1995,Nouméa,Célibataire,,Employé-e,,,2020-09,True,Auteur,"Verbales,Psychologiques,Physiques,Menaces de mort",,Service pénitentiaire d'insertion et de probation SPIP,25
F,1995,Nouméa,Séparé(e),Hébergé,Sans Emploi,,1,2017-11,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Administratives",,Professionnels de santé,22
F,1995,Nouméa,Union libre,Locataire,Sans Emploi,,1,2019-04,True,Mixte,"Verbales,Psychologiques",,Services Province Sud,23
F,1995,Paita,Célibataire,,Etudiant-e,,0,2014-07,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,19
F,1995,Nouméa,Séparé(e),Hébergé,Employé-e,,1,2021-04,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Entourage,25
F,1995,Nouméa,,Locataire,Employé-e,FRANCAISE,1,2022-03,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,26
F,1995,Nouméa,Séparé(e),Locataire,Etudiant-e,,,2021-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Police,25
F,1995,,Union libre,,,FRANCAISE,,2018-07,True,Mixte,"Verbales,Psychologiques,Physiques",,Spontanée,23
F,1995,Mont dore,Séparé(e),Locataire,Auxiliaire de vie,,1,2021-06,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Professionnels de santé,26
F,1995,Nouméa,Séparé(e),Hébergé,,FRANCAISE,1,2018-03,True,Mixte,"Verbales,Physiques",,,22
M,1995,Nouméa,Union libre,,,FRANCAISE,1,2022-06,True,Auteur,"Verbales,Psychologiques,Physiques,Menaces de mort",,Service pénitentiaire d'insertion et de probation SPIP,27
F,1995,Nouméa,Célibataire,Hébergé,Sans Emploi,,0,2016-10,True,Mixte,Psychologiques,,Entourage,21
F,1995,Nouméa,Séparé(e),Locataire,Profession intermédiaire,,,2023-05,True,Victime,"Verbales,Psychologiques,Physiques",,Spontanée,28
F,1995,Paita,Union libre,Hébergé,,,,2019-09,True,Mixte,"Verbales,Psychologiques,Physiques",,,24
F,1995,Paita,Marié(e),Locataire,Sans Emploi,,3,2019-05,True,Mixte,"Verbales,Psychologiques,Économiques,Administratives",,Services Province Sud,24
F,1995,Nouméa,Union libre,Hébergé,,FRANCAISE,,2022-05,True,Victime,Psychologiques,,Services Province Sud,27
F,1995,Nouméa,Union libre,Locataire,Etudiant-e,,,2018-09,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,23
F,1995,Nouméa,Célibataire,Hébergé,Etudiant-e,FRANCAISE,0,2016-12,True,Mixte,"Verbales,Physiques",,Police,21
F,1995,,Union libre,Hébergé,Employé-e,,1,2013-08,True,Victime,"Verbales,Physiques",,Tribunal,18
M,1995,Nouméa,Union libre,,,FRANCAISE,,2022-06,True,Auteur,"Physiques,Menaces de mort",,Service pénitentiaire d'insertion et de probation SPIP,27
M,,Mont dore,Célibataire,Hébergé,Etudiant-e,FRANCAISE,,,False,,,,,
M,1994,Mont dore,Union libre,Locataire,Employé-e,,,2022-07,False,Auteur,"Verbales,Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,27
F,1994,Nouméa,Union libre,Locataire,Vendeuse,FRANCAISE,1,2021-12,True,Victime,"Verbales,Psychologiques,Physiques,Cyber harcèlement",,,27
F,,Nouméa,Célibataire,,Etudiant-e,FRANCAISE,,2012-01,True,Auteur,"Sur enfants,Psychologiques,Physiques",,Tribunal,17
F,1994,Nouméa,Union libre,Locataire,Sans Emploi,,1,2021-07,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,26
M,1994,Nouméa,Célibataire,Hébergé,,FRANCAISE,,2022-11,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,28
F,1994,Dumbéa,Célibataire,Hébergé,Etudiant-e,,0,2014-07,True,Mixte,"Psychologiques,Physiques",,Associations,19
M,1994,Nouméa,,Hébergé,Ouvrier-ère,,1,2018-02,True,Mixte,"Verbales,Physiques",,Tribunal,23
F,1994,Nouméa,,,Secrétaire,,0,2024-01,True,Victime,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,29
M,1994,Nouméa,Célibataire,Hébergé,Recherche,,,2023-04,True,Auteur,"Verbales,Psychologiques,Physiques",Prise de produits,Service pénitentiaire d'insertion et de probation SPIP,28
F,1994,Nouméa,,,Sans Emploi,,2,2023-10,True,,"Verbales,Physiques,Sexuelles",,Spontanée,29
F,1994,,Union libre,,Sans Emploi,FRANCAISE,,2017-11,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",médicaments,Entourage,23
F,1994,Nouméa,Célibataire,Squat,Sans Emploi,,0,2018-04,True,Mixte,Sexuelles,,Associations,23
F,1994,Nouméa,Union libre,Hébergé,Sans Emploi,FRANCAISE,1,2017-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Professionnels de santé,22
M,1994,Nouméa,Union libre,Hébergé,Ouvrier-ère,,,2023-05,True,Auteur,,,Service pénitentiaire d'insertion et de probation SPIP,29
M,1994,Houailou,Union libre,,Sans Emploi,,1,2014-07,True,Auteur,Physiques,alcool,Tribunal,20
F,1994,,,Locataire,Auxiliaire de vie,,1,2021-09,True,Victime,"Verbales,Psychologiques,Physiques,Menaces de mort",,,27
F,,Tontouta,Union libre,,,,,,False,,,,,
F,1994,Tontouta,Union libre,Locataire,Vendeuse,,,2021-12,True,Victime,"Verbales,Économiques",,Associations,27
F,1994,Nouméa,Union libre,Hébergé,Employé-e,,2,2019-01,True,Mixte,Physiques,,Professionnels de santé,24
F,1994,Paita,Union libre,Propriétaire,,,1,2021-10,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques,Menaces de mort",,Services Province Sud,27
F,1994,Paita,Célibataire,Hébergé,Ouvrier-ère,,0,2013-12,True,Mixte,Sexuelles,,Associations,19
F,1994,Nouméa,Union libre,Hébergé,Sans Emploi,,,2019-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,25
M,1994,Nouméa,Union libre,Hébergé,,,3,2023-12,True,Auteur,Physiques,Prise de produits,Service pénitentiaire d'insertion et de probation SPIP,29
F,1993,Nouméa,Union libre,Hébergé,Sans Emploi,,2,2016-06,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Travailleurs sociaux,22
M,1993,Nouméa,,Hébergé,Sans Emploi,FRANCAISE,1,2022-11,True,Auteur,,,,28
M,1993,Nouméa,Union libre,Hébergé,Employé-e,,,2019-08,True,Auteur,,,,25
F,,Nouméa,Union libre,Hébergé,Etudiant-e,FRANCAISE,0,2011-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Police,17
M,1993,Mont dore,Célibataire,Hébergé,Mécanicien-ne,,2,2021-09,True,Auteur,"Verbales,Psychologiques,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,27
M,1993,Nouméa,Union libre,Locataire,Jardinier(ère),,1,2023-12,True,Auteur,"Verbales,Physiques",Prise de produits,Service pénitentiaire d'insertion et de probation SPIP,30
F,1993,Nouméa,,,,,3,2020-03,True,Mixte,"Verbales,Physiques",alcool,Tribunal,26
M,1993,Nouméa,Union libre,Locataire,Agent de maintenance,,3,2023-01,True,Auteur,"Verbales,Psychologiques,Physiques",,Entourage,29
F,1993,Ile des pins,Union libre,,Sans Emploi,,0,2015-06,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,21
M,1993,Mont dore,,Hébergé,,,3,2023-08,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,30
F,1993,Dumbéa,Marié(e),Locataire,Employé-e,,2,2018-06,True,Mixte,"Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,24
F,1993,Nouméa,Union libre,Hébergé,Auxiliaire de vie,,,2020-10,True,Mixte,"Verbales,Physiques,Psychologiques,Économiques,Menaces de mort",alcool,Entourage,27
F,1993,Nouméa,Union libre,Locataire,Ouvrier-ère,FRANCAISE,0,2012-02,True,Victime,"Verbales,Physiques",alcool,Tribunal,18
M,1993,Nouméa,Célibataire,Hébergé,Sans Emploi,,1,2020-01,True,Auteur,Verbales,,Service pénitentiaire d'insertion et de probation SPIP,26
F,1993,Nouméa,Séparé(e),Hébergé,Sans Emploi,,2,2018-02,True,Mixte,Psychologiques,,Travailleurs sociaux,24
M,1993,Dumbéa,Union libre,Hébergé,Sans Emploi,FRANCAISE,1,2012-07,True,Autre,Physiques,,Tribunal,19
