STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,EDUCATION,Education level,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,384,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2020,,1450,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,7166,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,11118,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,432,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,886,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2020,,361,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,3837,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,202,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2020,,871,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,2179,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,374,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,47,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,86,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,KI,Kiribati,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2020,,78,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,5966,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,318,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2021,,210,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,1523,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,2614,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,1159,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,142,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,991,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,63,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2021,,29,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,267,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,406,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,191,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,35,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,5990,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,232,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2021,,185,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,1687,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,2580,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,1194,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,112,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,984,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,51,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2021,,41,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,356,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,371,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,144,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,MH,Marshall Islands,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,21,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,2210,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,258,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2021,,128,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,479,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,1189,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2021,,11,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,88,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,57,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,254,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,41,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,1,Primary education,2021,,7,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,32,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,147,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,11,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,11,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,2149,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,165,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2021,,81,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,407,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,1312,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2021,,14,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,100,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,70,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,_T,All education levels,2021,,309,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,0,Early childhood education,2021,,36,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2,Lower secondary education,2021,,46,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,3,Upper secondary education,2021,,179,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2021,,24,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,NR,Nauru,POPCNT,Population,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,9,Level not stated,2021,,17,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,_T,All education levels,2020,,4757,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,0,Early childhood education,2020,,142,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,1,Primary education,2020,,162,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2,Lower secondary education,2020,,155,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,3,Upper secondary education,2020,,2837,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,4,Post-secondary non-tertiary education,2020,,276,,N,units,,,,,,,,,,
DATAFLOW,SPC:DF_EDUCATION(1.0),"Education Attainment by country age, sex, urbanisation, and disability status",I,A,Annual,PW,Palau,POPCNT,Population,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,5-8,Tertiary education,2020,,1185,,N,units,,,,,,,,,,
