STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,F,Female,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,5.2,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,F,Female,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,18,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,F,Female,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,25.8,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,M,Male,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,54.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,M,Male,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,23.7,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,M,Male,Y25T54,25-54,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,28.5,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,M,Male,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,49.2,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,M,Male,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,10.1,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,F,Female,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,5.5,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,MH,Marshall Islands,F,Female,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,19,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,M,Male,Y15T999,15+,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,15.8,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,KI,Kiribati,F,Female,Y55T64,55-64,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,5.1,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
DATAFLOW,SPC:DF_SDG_01(3.0),Sustainable Development Goal 01 - No Poverty,I,A,Annual,SI_COV_BENFTS,1.3.1 Population covered by at least one social protection floor/system,VU,Vanuatu,M,Male,Y15T24,15-24,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2019,,5.4,,PERCENT,percent,N,National,C,Country Data,Household Income and Expenditure Survey (HIES) 2019-2020,,A,Normal value,,
