STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment,CONF_STATUS,Confidentiality status
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,UNEMPRATE,Unemployment rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2015,,12.92,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,UNEMPRATE,Unemployment rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2017,,16.25,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,UNEMPRATE,Unemployment rate,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,2015,,14.78,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,UNEMPRATE,Unemployment rate,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,2017,,15.58,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2016,,29.1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2018,,28.03,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2021,,37.63,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2016,,1.36,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2018,,2.18,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2021,,3.02,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,VU,Vanuatu,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2019,,21.41,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,VU,Vanuatu,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2019,,30.52,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,VU,Vanuatu,LFPARTRATE,Labour force participation rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2019,,64.34,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,LFPARTRATE,Labour force participation rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2011,,74.82,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,LFPARTRATE,Labour force participation rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2012,,64.62,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2011,,73.77,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2012,,65.34,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,SB,Solomon Islands,LFPARTRATE,Labour force participation rate,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,2012,,37.57,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,FM,Micronesia (Federated States of),LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2013,,50.57,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2013,,10.08,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2015,,10.19,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,2013,,19.92,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,2015,,28.65,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,CK,Cook Islands,LFPARTRATE,Labour force participation rate,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,2015,,58.72,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,CK,Cook Islands,UNEMPRATE,Unemployment rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,7.9,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,LFPARTRATE,Labour force participation rate,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2015,,28.08,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,LFPARTRATE,Labour force participation rate,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2019,,22.71,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2015,,45.48,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,LFPARTRATE,Labour force participation rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2019,,33.82,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2015,,58.77,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2019,,35.81,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,71.29,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2017,,60.92,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,63.05,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,2017,,52.22,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,LFPARTRATE,Labour force participation rate,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,2015,,29.82,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TV,Tuvalu,LFPARTRATE,Labour force participation rate,_T,Total,Y55T64,55-64,_T,National,_T,No breakdown by disability,2017,,23.1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2016,,9.81,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2018,,14.04,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2021,,12.97,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,2016,,27.13,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,2018,,33.84,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,LFPARTRATE,Labour force participation rate,M,Male,Y65T999,65+,_T,National,_T,No breakdown by disability,2021,,17.24,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,UNEMPRATE,Unemployment rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2016,,4.85,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,UNEMPRATE,Unemployment rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2018,,5.72,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,TO,Tonga,UNEMPRATE,Unemployment rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2021,,5.72,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,VU,Vanuatu,UNEMPRATE,Unemployment rate,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,2019,,20.12,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,VU,Vanuatu,UNEMPRATE,Unemployment rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2019,,16.06,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,VU,Vanuatu,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2019,,6.28,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2011,,38.09,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,MH,Marshall Islands,LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2019,,44.48,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,UNEMPRATE,Unemployment rate,F,Female,Y55T64,55-64,_T,National,_T,No breakdown by disability,2011,,21.59,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NR,Nauru,UNEMPRATE,Unemployment rate,M,Male,Y55T64,55-64,_T,National,_T,No breakdown by disability,2011,,18.9,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,SB,Solomon Islands,LFPARTRATE,Labour force participation rate,F,Female,Y15T24,15-24,_T,National,_T,No breakdown by disability,2012,,18.11,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,SB,Solomon Islands,UNEMPRATE,Unemployment rate,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2012,,4.75,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,FM,Micronesia (Federated States of),LFPARTRATE,Labour force participation rate,M,Male,Y25T54,25-54,_T,National,_T,No breakdown by disability,2013,,49.8,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,FM,Micronesia (Federated States of),LFPARTRATE,Labour force participation rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2013,,32.1,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,2013,,24.72,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,PW,Palau,LFPARTRATE,Labour force participation rate,_T,Total,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,28.84,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,WS,Samoa,UNEMPRATE,Unemployment rate,F,Female,Y25T54,25-54,_T,National,_T,No breakdown by disability,2013,,2,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,WS,Samoa,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2013,,1.37,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,CK,Cook Islands,LFPARTRATE,Labour force participation rate,M,Male,Y15T24,15-24,_T,National,_T,No breakdown by disability,2015,,57.38,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,CK,Cook Islands,LFPARTRATE,Labour force participation rate,_T,Total,Y65T999,65+,_T,National,_T,No breakdown by disability,2015,,18.88,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,CK,Cook Islands,UNEMPRATE,Unemployment rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2015,,1.6,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,UNEMPRATE,Unemployment rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2015,,39.81,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,KI,Kiribati,UNEMPRATE,Unemployment rate,_T,Total,_T,All ages,_T,National,_T,No breakdown by disability,2019,,8.6,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,2015,,61.62,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,F,Female,_T,All ages,_T,National,_T,No breakdown by disability,2017,,55.96,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2015,,18.95,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,F,Female,Y65T999,65+,_T,National,_T,No breakdown by disability,2017,,11.54,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2015,,93.48,,PERCENT,percent,,,,,,,,,,
DATAFLOW,SPC:DF_EMPRATES(1.0),Labour force participation rates and unemployment rates,I,A,Annual,NU,Niue,LFPARTRATE,Labour force participation rate,_T,Total,Y25T54,25-54,_T,National,_T,No breakdown by disability,2017,,80.67,,PERCENT,percent,,,,,,,,,,
